Sample.ID,Molecule.List.Name,Molecule.Name,Experiment,Phase,Treatment,Bioreplicate,Area.per.cell
20230120_ER4_124_05_99,Vitamins,B2,Deplete,Particulate,+,B,0.000143027
20230120_ER4_124_06_104,Vitamins,B2,Deplete,Particulate,+,C,0.000274463
20230120_ER4_124_06_105,Vitamins,B2,Deplete,Particulate,+,C,0.000262077
20230120_ER4_124_01_87,Vitamins,B5,Deplete,Particulate,-,A,0.004763746
20230120_ER4_124_01_88,Vitamins,B5,Deplete,Particulate,-,A,0.004891278
20230120_ER4_124_02_90,Vitamins,B5,Deplete,Particulate,-,B,0.003880337
20230120_ER4_124_02_91,Vitamins,B5,Deplete,Particulate,-,B,0.004417257
20230120_ER4_124_03_93,Vitamins,B5,Deplete,Particulate,-,C,0.004738135
20230120_ER4_124_03_94,Vitamins,B5,Deplete,Particulate,-,C,0.004881198
20230120_ER4_124_04_96,Vitamins,B5,Deplete,Particulate,+,A,0.004359823
20230120_ER4_124_04_97,Vitamins,B5,Deplete,Particulate,+,A,0.004743683
20230120_ER4_124_05_100,Vitamins,B5,Deplete,Particulate,+,B,0.004694473
20230120_ER4_124_05_99,Vitamins,B5,Deplete,Particulate,+,B,0.002441055
20230120_ER4_124_06_104,Vitamins,B5,Deplete,Particulate,+,C,0.004182909
20230120_ER4_124_06_105,Vitamins,B5,Deplete,Particulate,+,C,0.004242301
20230120_ER4_124_01_87,Vitamins,B6,Deplete,Particulate,-,A,0.063890206
20230120_ER4_124_01_88,Vitamins,B6,Deplete,Particulate,-,A,0.074465435
20230120_ER4_124_02_90,Vitamins,B6,Deplete,Particulate,-,B,0.079912828
20230120_ER4_124_02_91,Vitamins,B6,Deplete,Particulate,-,B,0.068222882
20230120_ER4_124_03_93,Vitamins,B6,Deplete,Particulate,-,C,0.076246751
20230120_ER4_124_03_94,Vitamins,B6,Deplete,Particulate,-,C,0.08104205
20230120_ER4_124_04_96,Vitamins,B6,Deplete,Particulate,+,A,0.065060022
20230120_ER4_124_04_97,Vitamins,B6,Deplete,Particulate,+,A,0.073640507
20230120_ER4_124_05_100,Vitamins,B6,Deplete,Particulate,+,B,0.075489945
20230120_ER4_124_05_99,Vitamins,B6,Deplete,Particulate,+,B,0.063686452
20230120_ER4_124_06_104,Vitamins,B6,Deplete,Particulate,+,C,0.048288828
20230120_ER4_124_06_105,Vitamins,B6,Deplete,Particulate,+,C,0.050263247
20230120_ER4_124_01_87,Vitamins,B7,Deplete,Particulate,-,A,1.33597E-05
20230120_ER4_124_01_88,Vitamins,B7,Deplete,Particulate,-,A,1.57927E-05
20230120_ER4_124_02_90,Vitamins,B7,Deplete,Particulate,-,B,1.5598E-05
20230120_ER4_124_02_91,Vitamins,B7,Deplete,Particulate,-,B,8.04694E-06
20230120_ER4_124_03_93,Vitamins,B7,Deplete,Particulate,-,C,1.73644E-05
20230120_ER4_124_03_94,Vitamins,B7,Deplete,Particulate,-,C,1.68066E-05
20230120_ER4_124_04_96,Vitamins,B7,Deplete,Particulate,+,A,1.44379E-05
20230120_ER4_124_04_97,Vitamins,B7,Deplete,Particulate,+,A,1.44639E-05
20230120_ER4_124_05_100,Vitamins,B7,Deplete,Particulate,+,B,1.26165E-05
20230120_ER4_124_05_99,Vitamins,B7,Deplete,Particulate,+,B,1.9595E-05
20230120_ER4_124_06_104,Vitamins,B7,Deplete,Particulate,+,C,8.44112E-06
