"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded"
"58","15",468,"B12-Me","B7",0.000806083519209074,6,"-",39900,1.05261e-08,1,0.00041999139
"59","15",506,"B12-Me","B7",0.000830450281302724,6,"-",39900,1.05261e-08,1,0.00041999139
"60","15",509,"B12-Me","B7",0.00084290921255057,6,"-",39900,1.05261e-08,1,0.00041999139
"61","16",1514,"B12-Me","B7",0.00208256245967958,6,"-",39500,1.34888e-08,1,0.0005328076
"62","16",2897,"B12-Me","B7",0.00389209087367162,6,"-",39500,1.34888e-08,1,0.0005328076
"63","16",2195,"B12-Me","B7",0.00313691975916459,6,"-",39500,1.34888e-08,1,0.0005328076
"64","24",4739,"B12-Me","B7",0.00769419355467196,6,"+",40200,1.17269e-08,1,0.00047142138
"65","24",5741,"B12-Me","B7",0.00924198349289344,6,"+",40200,1.17269e-08,1,0.00047142138
"66","24",6058,"B12-Me","B7",0.00960092300719039,6,"+",40200,1.17269e-08,1,0.00047142138
"67","27",807,"B12-Me","B7",0.00116175452285288,6,"-",41500,1.01239e-08,1,0.00042014185
"68","27",430,"B12-Me","B7",0.000591615840445335,6,"-",41500,1.01239e-08,1,0.00042014185
"69","27",284,"B12-Me","B7",0.000382311883034102,6,"-",41500,1.01239e-08,1,0.00042014185
"70","28",9381,"B12-Me","B7",0.0141601068687311,6,"+",47400,1.08017e-08,1,0.00051200058
"71","28",9172,"B12-Me","B7",0.0169067877840532,6,"+",47400,1.08017e-08,1,0.00051200058
"72","28",6855,"B12-Me","B7",0.0108623312416809,6,"+",47400,1.08017e-08,1,0.00051200058
