"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ"
"DMSP_df.12","24",1576387,"DMSP","none",1576387,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"DMSP_df.13","27",1551111,"DMSP","none",1551111,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"DMSP_df.14","27",1347679,"DMSP","none",1347679,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"DMSP_df.15","27",1468024,"DMSP","none",1468024,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"DMSP_df.16","28",1261036,"DMSP","none",1261036,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"DMSP_df.17","28",997996,"DMSP","none",997996,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"DMSP_df.18","28",883169,"DMSP","none",883169,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"Homarine_df.1","06",15932245,"Homarine","B1",235.778269427138,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"Homarine_df.2","06",17501408,"Homarine","B1",239.4795911386,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"Homarine_df.3","06",16022688,"Homarine","B1",224.999831489075,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"Homarine_df.4","15",14382237,"Homarine","B1",443.102994639226,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"Homarine_df.5","15",15281667,"Homarine","B1",426.480994641661,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"Homarine_df.6","15",16254886,"Homarine","B1",528.407970873155,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"Homarine_df.7","16",68129680,"Homarine","B1",1890.07601398213,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"Homarine_df.8","16",30189402,"Homarine","B1",828.832692730068,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"Homarine_df.9","16",32215794,"Homarine","B1",1247.32050487843,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"Homarine_df.10","24",12419924,"Homarine","B1",294.982044461334,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"Homarine_df.11","24",41355732,"Homarine","B1",1026.50248212867,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"Homarine_df.12","24",12760956,"Homarine","B1",308.168658987177,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"Homarine_df.13","27",17734098,"Homarine","B1",407.577348256763,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"Homarine_df.14","27",16476342,"Homarine","B1",332.311611302717,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"Homarine_df.15","27",17692658,"Homarine","B1",396.305393781919,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"Homarine_df.16","28",10059414,"Homarine","B1",395.370593090437,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"Homarine_df.17","28",14814035,"Homarine","B1",611.493230413605,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"Homarine_df.18","28",13935031,"Homarine","B1",534.441627675079,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"HMP_df.1","06",289933,"HMP","none",289933,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE
"HMP_df.2","06",315855,"HMP","none",315855,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE
"HMP_df.3","06",174482,"HMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"HMP_df.4","15",114295,"HMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"HMP_df.5","15",183201,"HMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"HMP_df.6","15",210465,"HMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"HMP_df.7","16",165627,"HMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"HMP_df.8","16",263788,"HMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"HMP_df.9","16",206996,"HMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"HMP_df.10","24",289257,"HMP","none",289257,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,TRUE
"HMP_df.11","24",214244,"HMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"HMP_df.12","24",319483,"HMP","none",319483,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,TRUE
"HMP_df.13","27",261045,"HMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"HMP_df.14","27",240479,"HMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"HMP_df.15","27",91933,"HMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"HMP_df.16","28",219254,"HMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"HMP_df.17","28",291566,"HMP","none",291566,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
"HMP_df.18","28",304775,"HMP","none",304775,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
"HET_df.1","06",7033,"HET","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"HET_df.2","06",6774,"HET","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"HET_df.3","06",7580,"HET","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
