"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ","normtype","normunits","est_fmol_on_column","fmol_cell","fmol_mgC","peak_cell"
"147","27",48971,"FAMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",14.4311089124903,0.000347737564156392,34348.1824352663,0
"157","27",17451,"FAMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",5.14257992754625,0.000123917588615572,12240.1039733277,0
"167","28",18684,"FAMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE,"none","none",5.50592879297886,0.000116158835294913,10753.7549917988,0
"177","28",142463,"FAMP","none",142463,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE,"none","none",41.9819703293807,0.000885695576569213,81995.9429135426,3.00554852320675
"187","28",34936,"FAMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE,"none","none",10.295179207424,0.000217197873574346,20107.7491111904,0
"128","06",7033,"HET","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE,"none","none",0.286656608196203,7.22056947597489e-06,615.727044314771,0
"28","06",6774,"HET","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE,"none","none",0.276100080182153,6.95466196932375e-06,593.052040123456,0
"38","06",7580,"HET","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE,"none","none",0.308951669291513,7.78215791666281e-06,663.615952780599,0
"48","15",8144,"HET","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE,"none","none",0.331939629908982,8.31928897014992e-06,790.348654311655,0
"58","15",8571,"HET","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE,"none","none",0.349343635553767,8.75547958781371e-06,831.787612488358,0
"68","15",4354,"HET","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE,"none","none",0.177463795263229,4.44771416699823e-06,422.541507965745,0
"78","16",2382,"HET","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE,"none","none",0.0970874506929329,2.45791014412488e-06,182.218592026339,0
"88","16",8739,"HET","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE,"none","none",0.356191113184502,9.01749653631651e-06,668.517328177192,0
"98","16",3552,"HET","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE,"none","none",0.144775241335553,3.66519598317856e-06,271.721426900729,0
"108","24",5646,"HET","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE,"none","none",0.230124158947217,5.72448156585116e-06,488.149601842871,0
"1112","24",7989,"HET","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE,"none","none",0.32562201661872,8.10005016464478e-06,690.723905264373,0
"129","24",3901,"HET","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE,"none","none",0.159000060937497,3.95522539645515e-06,337.27800155669,0
"138","27",5138,"HET","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",0.209418690873327,5.04623351501993e-06,498.447585912536,0
"148","27",3926,"HET","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",0.160019030823023,3.85588026079574e-06,380.869058445435,0
